"","Species","CommonName","TaxonomicGrouping","FilterRegion","FilterSubRegion","ManagementBody","ManagementPlan","DistributionProjectName"
"81","Gorgonocephalus eucnemis","Basket star","Ophiuroidea (brittle stars)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"82","Gymnocanthus galeatus","Armorhead sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","Not for IDW"
"83","Gymnocanthus pistilliger","Threaded sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"84","Hemilepidotus jordani","Yellow irish lord","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"85","Hemilepidotus papilio","Butterfly sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"86","Hemitripterus bolini","Bigmouth sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"87","Hexagrammos stelleri","Whitespotted greenling","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"88","Hippoglossus stenolepis","Pacific halibut","Pleuronectiformes (Flatfishes)","Alaska","Eastern Bering Sea","NPFMC","Species Managed Under International Agreement - IPHC","NMFS/Rutgers IDW Interpolation"
"89","Hyas coarctatus","Arctic lyre crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"90","Hyas lyratus","Pacific lyre crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"91","Icelus spatula","Spatulate sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"92","Icelus spiniger","Thorny sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"93","Isopsetta isolepis","Butter sole","Pleuronectiformes (Flatfishes)","Alaska","Eastern Bering Sea","NPFMC",NA,"Not for IDW"
"94","Labidochirus splendescens","Splendid hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"95","Lepidopsetta sp.","Rock soles","Pleuronectiformes (Flatfishes)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"96","Leptasterias arctica","Arctic star","Asteroidea (starfishes)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"97","Leptasterias groenlandica","Greenland star","Asteroidea (starfishes)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"98","Leptoclinus maculatus","Daubed shanny","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"99","Leptychaster anomalus","Pentagonal sand star","Asteroidea (starfishes)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"100","Lethasterias nanimensis","Black spined sea star","Asteroidea (starfishes)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"101","Limanda aspera","Yellowfin sole","Pleuronectiformes (Flatfishes)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"102","Limanda sakhalinensis","Sakhalin sole","Pleuronectiformes (Flatfishes)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"103","Lumpenus sagitta","Snake prickleback","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"104","Lycodes brevipes","Shortfin eelpout","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"105","Lycodes palearis","Wattled eelpout","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"106","Lycodes raridens","Marbled eelpout","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"107","Mallotus villosus","Capelin","Osmeriformes (caplin, freshwater smelt)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"108","Megangulus luteus","Alaskan great tellin","Bivalvia (clams, muscles, oyster, arks, etc)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"109","Myoxocephalus jaok","Plain sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"110","Myoxocephalus polyacanthocephalus","Great sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"111","Myoxocephalus scorpius","Shorthorn sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"112","Myzopsetta proboscidea","Longhead dab","Pleuronectiformes (Flatfishes)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"113","Neocrangon communis","Gray shrimp","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"114","Occella dodecaedron","Bering poacher","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"115","Oregonia gracilis","Graceful decorator crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"116","Pagurus aleuticus","Aleutian hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"117","Pagurus brandti","Sponge hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"118","Pagurus capillatus","Hairy hermit crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"119","Pagurus confragosus","Knobbyhand hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"120","Pagurus ochotensis","Alaskan hermit crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"121","Pagurus rathbuni","Longfinger hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"122","Pagurus trigonocheirus","Fuzzy hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"123","Paralithodes camtschaticus","Red king crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","NMFS/Rutgers IDW Interpolation"
"124","Paralithodes platypus","Blue king crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","NMFS/Rutgers IDW Interpolation"
"125","Patinopecten caurinus","Weathervane scallop","Bivalvia (clams, muscles, oyster, arks, etc)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"126","Platichthys stellatus","Starry flounder","Pleuronectiformes (Flatfishes)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"127","Pleuronectes quadrituberculatus","Alaska plaice","Pleuronectiformes (Flatfishes)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"128","Podothecus accipenserinus","Sturgeon poacher","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"129","Reinhardtius hippoglossoides","Greenland halibut","Pleuronectiformes (Flatfishes)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"130","Sarritor frenatus","Sawback poacher","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"131","Telmessus cheiragonus","Helmet crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"132","Thaleichthys pacificus","Eulachon","Osmeriformes (caplin, freshwater smelt)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"133","Triglops pingelii","Ribbed sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"134","Acantholumpenus mackayi","Pighead prickleback","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"135","Arctoraja parmifera","Alaska skate","Elasmobranchii: Batoidea (skates, rays)","Alaska","Northern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"136","Aspidophoroides olrikii","Arctic alligatorfish","Perciformes/Cottoidei (sculpins)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"137","Asterias amurensis","North pacific seastar","Asteroidea (starfishes)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"138","Boreogadus saida","Arctic cod","Gadiformes (Cods, genadiers, pollock)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"139","Chionoecetes opilio","Snow crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"140","Clupea pallasii","Pacific herring","Clupeiformes (Herrings, anchovy, shad)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"141","Crossaster papposus","Common sunstar","Asteroidea (starfishes)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"142","Echinarachnius parma","Common sand dollar","Echinoidea (sea urchins, sand dollars)","Alaska","Northern Bering Sea",NA,NA,"Not for IDW"
"143","Eleginus gracilis","Saffron cod","Gadiformes (Cods, genadiers, pollock)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"144","Enophrys diceraus","Antlered sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"145","Erimacrus isenbeckii","Hair crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"146","Evasterias echinosoma","Giant sea star","Asteroidea (starfishes)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"147","Gadus chalcogrammus","Walleye pollock","Gadiformes (Cods, genadiers, pollock)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"148","Gadus macrocephalus","Pacific cod","Gadiformes (Cods, genadiers, pollock)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"149","Gorgonocephalus eucnemis","Basket star","Ophiuroidea (brittle stars)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"150","Gymnocanthus pistilliger","Threaded sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"151","Gymnocanthus tricuspis","Arctic staghorn sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Northern Bering Sea",NA,NA,"Not for IDW"
"152","Hemilepidotus papilio","Butterfly sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Northern Bering Sea",NA,NA,"Not for IDW"
"153","Hexagrammos stelleri","Whitespotted greenling","Perciformes/Cottoidei (sculpins)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"154","Hippoglossus stenolepis","Pacific halibut","Pleuronectiformes (Flatfishes)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"155","Hyas coarctatus","Arctic lyre crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"156","Labidochirus splendescens","Splendid hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"157","Lepidopsetta sp.","Rock soles","Pleuronectiformes (Flatfishes)","Alaska","Northern Bering Sea",NA,"Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"158","Leptasterias arctica","Arctic star","Asteroidea (starfishes)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"159","Leptasterias groenlandica","Greenland star","Asteroidea (starfishes)","Alaska","Northern Bering Sea",NA,NA,"Not for IDW"
"160","Lethasterias nanimensis","Black spined sea star","Asteroidea (starfishes)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"161","Limanda aspera","Yellowfin sole","Pleuronectiformes (Flatfishes)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"162","Limanda sakhalinensis","Sakhalin sole","Pleuronectiformes (Flatfishes)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"163","Lumpenus fabricii","Slender eelblenny","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"164","Lumpenus sagitta","Snake prickleback","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Northern Bering Sea",NA,NA,"Not for IDW"
"165","Lycodes palearis","Wattled eelpout","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"166","Lycodes raridens","Marbled eelpout","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Northern Bering Sea",NA,NA,"Not for IDW"
"167","Lycodes turneri","Polar eelpout","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"168","Mallotus villosus","Capelin","Osmeriformes (caplin, freshwater smelt)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"169","Modiolus modiolus","Northern horsemussel","Bivalvia (clams, muscles, oyster, arks, etc)","Alaska","Northern Bering Sea",NA,NA,"Not for IDW"
"170","Myoxocephalus jaok","Plain sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"171","Myoxocephalus polyacanthocephalus","Great sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Northern Bering Sea",NA,"Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"172","Myoxocephalus scorpius","Shorthorn sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"173","Myzopsetta proboscidea","Longhead dab","Pleuronectiformes (Flatfishes)","Alaska","Northern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"174","Nautichthys pribilovius","Eyeshade sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Northern Bering Sea",NA,NA,"Not for IDW"
"175","Occella dodecaedron","Bering poacher","Perciformes/Cottoidei (sculpins)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"176","Osmerus mordax","Rainbow smelt","Osmeriformes (caplin, freshwater smelt)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"177","Pagurus capillatus","Hairy hermit crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"178","Pagurus ochotensis","Alaskan hermit crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"179","Pagurus rathbuni","Longfinger hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"180","Pagurus trigonocheirus","Fuzzy hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"181","Pallasina barbata","Tubenose poacher","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"182","Paralithodes camtschaticus","Red king crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"183","Paralithodes platypus","Blue king crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"184","Platichthys stellatus","Starry flounder","Pleuronectiformes (Flatfishes)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"185","Pleuronectes quadrituberculatus","Alaska plaice","Pleuronectiformes (Flatfishes)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"186","Podothecus accipenserinus","Sturgeon poacher","Perciformes/Cottoidei (sculpins)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"187","Podothecus veternus","Veteran poacher","Perciformes/Cottoidei (sculpins)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"188","Telmessus cheiragonus","Helmet crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"189","Triglops pingelii","Ribbed sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"190","Acanthostracion quadricornis","Scrawled cowfish","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"191","Achelous gibbesii","Iridescent swimming crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"192","Achelous ordwayi","Silvery-clawed swimming crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"193","Achelous spinicarpus","Longspine swimming crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"194","Achelous spinimanus","Blotched swimming crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"195","Aluterus heudelotii","Dotterel filefish","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"196","Aluterus schoepfii","Orange filefish","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"197","Anadara secernenda","Skewed ark","Bivalvia (clams, muscles, oyster, arks, etc)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"198","Anasimus latus","Stilt spider crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"199","Anchoa hepsetus","Striped anchovy","Clupeiformes (Herrings, anchovy, shad)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"200","Anchoa mitchilli","Bay anchovy","Clupeiformes (Herrings, anchovy, shad)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"201","Ancylopsetta dilecta","Three-eye flounder","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"202","Apogon pseudomaculatus","Twospot cardinalfish","Kurtiformes (Nurseryfishes, cardinalfishes.)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"203","Apogon quadrisquamatus","Sawcheek cardinalfish","Kurtiformes (Nurseryfishes, cardinalfishes.)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"204","Arbacia punctulata","Purple-spined sea urchin","Echinoidea (sea urchins, sand dollars)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"205","Argopecten gibbus","Calico scallop","Bivalvia (clams, muscles, oyster, arks, etc)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"206","Ariopsis felis","Hardhead catfish","Siluriformes (catfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"207","Balistes capriscus","Gray triggerfish","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"208","Bellator militaris","Horned searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"209","Bollmannia communis","Ragged goby","Gobiiformes (Gobies)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"210","Bothus robinsi","Twospot flounder","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"211","Brevoortia patronus","Gulf menhaden","Clupeiformes (Herrings, anchovy, shad)","Gulf of Mexico","Gulf of Mexico","GSMFC","Gulf Menhaden Fishery Regional Management Plan","Not for IDW"
"212","Brotula barbata","Bearded brotula","Ophidiiformes (Cusk eels)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"213","Calamus arctifrons","Grass porgy","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"214","Calamus nodosus","Knobbed porgy","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"215","Calamus proridens","Littlehead porgy","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"216","Calappa flammea","Flame box crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"217","Calappa sulcata","Yellow box crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"218","Callinectes sapidus","Blue crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico","GSMFC","Interstate Fishery Management Plan","NMFS/Rutgers IDW Interpolation"
"219","Callinectes similis","Lesser blue crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"220","Centropristis ocyurus","Bank sea bass","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"221","Centropristis philadelphica","Rock sea bass","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"222","Chaetodipterus faber","Atlantic spadefish","Acanthuriformes (Surgeonfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"223","Chaetodon ocellatus","Spotfin butterflyfish","Acanthuriformes (Surgeonfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"224","Chaetodon sedentarius","Reef butterflyfish","Acanthuriformes (Surgeonfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"225","Chilomycterus schoepfii","Striped burrfish","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"226","Chloroscombrus chrysurus","Atlantic bumper","Carangiformes (Jacks)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"227","Chrysaora quinquecirrha","Sea nettle","Cnidaria (jellyfish, corals, anenomes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"228","Citharichthys macrops","Spotted whiff","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"229","Citharichthys spilopterus","Bay whiff","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"230","Coryrhynchus sidneyi","Shortfinger neck crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"231","Cyclopsetta chittendeni","Mexican flounder","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"232","Cyclopsetta fimbriata","Spotfin flounder","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"233","Cynoscion arenarius","Sand weakfish","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico","GSMFC","Interstate Fishery Management Plan","NMFS/Rutgers IDW Interpolation"
"234","Cynoscion nothus","Silver seatrout","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico","GSMFC","Interstate Fishery Management Plan","NMFS/Rutgers IDW Interpolation"
"235","Decapterus punctatus","Round scad","Carangiformes (Jacks)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"236","Diplectrum bivittatum","Dwarf sand perch","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"237","Diplectrum formosum","Sand perch","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"238","Doryteuthis sp","Inshore Squid sp.","Cephalopoda (squid, octopus)","Gulf of Mexico","Gulf of Mexico","GMFMC",NA,"NMFS/Rutgers IDW Interpolation"
"239","Echiophis intertinctus","Spotted spoon-nose eel","Anguilliformes (Eels and morays)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"240","Encope aberrans",NA,"Echinoidea (sea urchins, sand dollars)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
