"","Species","CommonName","TaxonomicGrouping","FilterRegion","FilterSubRegion","ManagementBody","ManagementPlan","DistributionProjectName"
"971","Leptasterias (Hexasterias) polaris","Polar six-rayed star",NA,NA,"Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"972","Achelous gibbesii","Iridescent swimming crab",NA,NA,"Southeast US",NA,NA,"NMFS/Rutgers IDW Interpolation"
"973","Achelous spinimanus","Blotched swimming crab",NA,NA,"Southeast US",NA,NA,"NMFS/Rutgers IDW Interpolation"
"974","Anchoa spp.","Anchovies",NA,NA,"Southeast US",NA,NA,"NMFS/Rutgers IDW Interpolation"
"975","Bathytoshia centroura","Roughtail stingray",NA,NA,"Southeast US",NA,NA,"Not for IDW"
"976","Doryteuthis sp","Inshore Squid sp.",NA,NA,"Southeast US",NA,NA,"NMFS/Rutgers IDW Interpolation"
"977","Etrumeus sadina","Round herring",NA,NA,"Southeast US",NA,NA,"Not for IDW"
"978","Eucinostomus spp.","Mojarras",NA,NA,"Southeast US",NA,NA,"NMFS/Rutgers IDW Interpolation"
"979","Hypanus americanus","Southern stingray",NA,NA,"Southeast US",NA,NA,"NMFS/Rutgers IDW Interpolation"
"980","Hypanus sabinus","Atlantic stingray",NA,NA,"Southeast US",NA,NA,"NMFS/Rutgers IDW Interpolation"
"981","Hypanus say","Bluntnose stingray",NA,NA,"Southeast US",NA,NA,"NMFS/Rutgers IDW Interpolation"
"982","Penaeus aztecus","Brown shrimp",NA,NA,"Southeast US",NA,NA,"NMFS/Rutgers IDW Interpolation"
"983","Penaeus duorarum","Pink shrimp",NA,NA,"Southeast US",NA,NA,"NMFS/Rutgers IDW Interpolation"
"984","Penaeus setiferus","Northern white shrimp",NA,NA,"Southeast US",NA,NA,"NMFS/Rutgers IDW Interpolation"
"985","Pseudobatos lentiginosus","Atlantic guitarfish",NA,NA,"Southeast US",NA,NA,"Not for IDW"
"986","Rostroraja eglanteria","Clearnose skate",NA,NA,"Southeast US",NA,NA,"NMFS/Rutgers IDW Interpolation"
"987","Actinauge verrillii","Reticulate anemone",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"988","Actinostola faeculenta","Hobnail vase anemone",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"989","Apostichopus californicus","Giant california sea cucumber",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"990","Apostichopus leukothele","White-knobbed sea cucumber",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"991","Bathyraja spp.","Skate complex",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"992","Beringraja binoculata","Big skate",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"993","Beringraja inornata","California skate",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"994","Beringraja rhina","Longnose skate",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"995","Beringraja stellulata","Starry skate",NA,NA,"West Coast",NA,NA,"Not for IDW"
"996","Echidnocerus foraminatus","Brown box crab",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"997","Gadus chalcogrammus","Walleye pollock",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"998","Grimothea planipes","Pelagic red crab",NA,NA,"West Coast",NA,NA,"Not for IDW"
"999","Hippasteria phrygiana","Arctic cushion star",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"1000","Liponema brevicorne","Tentacle shedding anemone",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"1001","Metacarcinus magister","Dungeness crab",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"1002","Microstomus bathybius","Deep-sea sole",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"1003","Nearchaster (Nearchaster) aciculosus","Needle spined fragile star",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"1004","Ophiura sarsii","Notched brittle star",NA,NA,"West Coast",NA,NA,"Not for IDW"
"1005","Pandalus amplus","Deepwater bigeye",NA,NA,"West Coast",NA,NA,"Not for IDW"
"1006","Pandalus dispar","Sidestripe shrimp",NA,NA,"West Coast",NA,NA,"Not for IDW"
"1007","Sagenaster evermanni","Evermann's star",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"1008","Sebastes melanostictus and S. aleutianus","Blackspotted and rougheye rockfish",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"1009","Tetronarce californica","Pacific electric ray",NA,NA,"West Coast",NA,NA,"Not for IDW"
"1010","Tritonia tetraquetra","Large orange peel nudibranch",NA,NA,"West Coast",NA,NA,"NMFS/Rutgers IDW Interpolation"
"1011","Aphareus rutilans","Lehi","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Hawai'i Islands","Hawai'i Islands","WPFMC","Hawai'i Archipelago Ecosystem","NMFS/Rutgers IDW Interpolation"
"1012","Etelis carbunculus","Ehu","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Hawai'i Islands","Hawai'i Islands","WPFMC","Hawai'i Archipelago Ecosystem","NMFS/Rutgers IDW Interpolation"
"1013","Etelis coruscans","Onaga","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Hawai'i Islands","Hawai'i Islands","WPFMC","Hawai'i Archipelago Ecosystem","NMFS/Rutgers IDW Interpolation"
"1014","Hyporthodus quernus","Hapu'upu'u","Perciformes/Serranoidei (Groupers)","Hawai'i Islands","Hawai'i Islands","WPFMC","Hawai'i Archipelago Ecosystem","NMFS/Rutgers IDW Interpolation"
"1015","Pristipomoides filamentosus","Opakapaka","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Hawai'i Islands","Hawai'i Islands","WPFMC","Hawai'i Archipelago Ecosystem","NMFS/Rutgers IDW Interpolation"
"1016","Pristipomoides sieboldii","Kalekale","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Hawai'i Islands","Hawai'i Islands","WPFMC","Hawai'i Archipelago Ecosystem","NMFS/Rutgers IDW Interpolation"
"1017","Pristipomoides zonatus","Gindai","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Hawai'i Islands","Hawai'i Islands","WPFMC","Hawai'i Archipelago Ecosystem","NMFS/Rutgers IDW Interpolation"
