,Species,CommonName,TaxonomicGrouping,FilterRegion,FilterSubRegion,ManagementBody,ManagementPlan,DistributionProjectName
1,Abietinaria sp. A (Clark 2006),white tangled hydroid,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Aleutian Islands,,,Not for IDW
2,Albatrossia pectoralis,Giant grenadier,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Aleutian Islands,,,Not for IDW
3,Amphisbetia greenei,Fibre optic hydroid,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Aleutian Islands,,,Not for IDW
4,Anoplopoma fimbria,Sablefish,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
5,Aphrocallistes vastus,Cloud sponge,Porifera (sponges),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
6,Aplidium soldatovi,Sand-grain imbedded ascidian,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Aleutian Islands,,,Not for IDW
7,Aplidium sp. A (Clark 2006),sea glob,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Aleutian Islands,,,Not for IDW
8,Aptocyclus ventricosus,Smooth lumpsucker,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,,,Not for IDW
9,Arctoraja parmifera,Alaska skate,"Elasmobranchii: Batoidea (skates, rays)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Not for IDW
10,Atheresthes stomias and A. evermanni,Arrowtooth and kamchatka flounders,Pleuronectiformes (Flatfishes) ,Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
11,Axinella blanca,Firm finger sponge,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
12,Bathymaster signatus,Searcher,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
