"","X","Species","CommonName","TaxonomicGrouping","FilterRegion","FilterSubRegion","ManagementBody","ManagementPlan","DistributionProjectName"
"886",886,"Pogonias cromis","Black drum","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","Southeast","ASMFC","Interstate Fishery Management Plan ","Not for IDW"
"887",887,"Pomatomus saltatrix","Bluefish","Scombriformes (Mackerels)","US East Coast","Southeast","","","Not for IDW"
"888",888,"Porcellana sigsbeiana","Striped porcelain crab","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","Southeast","","","Not for IDW"
"889",889,"Portunus sayi","Sargassum swimming crab","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","Southeast","","","Not for IDW"
"890",890,"Prionotus carolinus","Northern searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","US East Coast","Southeast","","","Not for IDW"
"891",891,"Prionotus evolans","Striped searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","US East Coast","Southeast","","","Not for IDW"
"892",892,"Prionotus rubio","Blackwing searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","US East Coast","Southeast","","","Not for IDW"
"893",893,"Prionotus scitulus","Leopard searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","US East Coast","Southeast","","","Not for IDW"
"894",894,"Prionotus tribulus","Bighead searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","US East Coast","Southeast","","","Not for IDW"
"895",895,"Pseudobatos lentiginosus","Atlantic guitarfish","Elasmobranchii: Batoidea (skates, rays)","US East Coast","Southeast","","","Not for IDW"
"896",896,"Rachycentron canadum","Cobia","Carangiformes (Jacks)","US East Coast","Southeast","","","Not for IDW"
"897",897,"Rhinoptera bonasus","Cownose ray","Elasmobranchii: Batoidea (skates, rays)","US East Coast","Southeast","","","Not for IDW"
"898",898,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","Elasmobranchii: Selachii (sharks)","US East Coast","Southeast","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Not for IDW"
"899",899,"Rimapenaeus constrictus","Roughneck shrimp","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","Southeast","","","Not for IDW"
"900",900,"Rostroraja eglanteria","Clearnose skate","Elasmobranchii: Batoidea (skates, rays)","US East Coast","Southeast","","","Not for IDW"
"901",901,"Sardinella aurita","Spanish sardine","Clupeiformes (Herrings, anchovy, shad)","US East Coast","Southeast","","","Not for IDW"
"902",902,"Scomberomorus cavalla","King mackerel","Scombriformes (Mackerels)","US East Coast","Southeast","GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","Not for IDW"
"903",903,"Scomberomorus cavalla","King mackerel","Scombriformes (Mackerels)","US East Coast","Southeast","SAFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","Not for IDW"
"904",904,"Scomberomorus maculatus","Spanish mackerel","Scombriformes (Mackerels)","US East Coast","Southeast","ASMFC","Interstate Fishery Management Plan ","Not for IDW"
"905",905,"Scomberomorus maculatus","Spanish mackerel","Scombriformes (Mackerels)","US East Coast","Southeast","GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","Not for IDW"
"906",906,"Scomberomorus maculatus","Spanish mackerel","Scombriformes (Mackerels)","US East Coast","Southeast","SAFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","Not for IDW"
"907",907,"Scophthalmus aquosus","Windowpane flounder","Pleuronectiformes (Flatfishes) ","US East Coast","Southeast","","","Not for IDW"
"908",908,"Selene setapinnis","Atlantic moonfish","Carangiformes (Jacks)","US East Coast","Southeast","","","Not for IDW"
"909",909,"Selene vomer","Lookdown","Carangiformes (Jacks)","US East Coast","Southeast","","","Not for IDW"
"910",910,"Sphoeroides maculatus","Northern puffer","Tetraodontiformes (puffers and filefishes)","US East Coast","Southeast","","","Not for IDW"
"911",911,"Sphyraena guachancho","Guachanche barracuda","Carangaria/misc (barracuda, threadfins)","US East Coast","Southeast","","","Not for IDW"
"912",912,"Sphyrna lewini","Scalloped hammerhead","Elasmobranchii: Selachii (sharks)","US East Coast","Southeast","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Not for IDW"
"913",913,"Sphyrna tiburo","Bonnethead","Elasmobranchii: Selachii (sharks)","US East Coast","Southeast","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Not for IDW"
"914",914,"Squilla empusa","Mantis shrimp","Stomatopoda (mantis shrimp)","US East Coast","Southeast","SAFMC","Shrimp Fishery of the South Atlantic Region","Not for IDW"
"915",915,"Stellifer lanceolatus","Star drum","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","Southeast","","","Not for IDW"
"916",916,"Stephanolepis hispida","Planehead filefish","Tetraodontiformes (puffers and filefishes)","US East Coast","Southeast","","","Not for IDW"
"917",917,"Stomolophus meleagris","Cannonball jellyfish","Cnidaria (jellyfish, corals, anenomes) ","US East Coast","Southeast","","","Not for IDW"
"918",918,"Syacium papillosum","Dusky flounder","Pleuronectiformes (Flatfishes) ","US East Coast","Southeast","","","Not for IDW"
"919",919,"Symphurus plagiusa","Blackcheek tonguefish","Pleuronectiformes (Flatfishes) ","US East Coast","Southeast","","","Not for IDW"
"920",920,"Synodus foetens","Inshore lizardfish","Aulopiformes (Grinners, lizardfish)","US East Coast","Southeast","","","Not for IDW"
"921",921,"Trachinotus carolinus","Florida pompano","Carangiformes (Jacks)","US East Coast","Southeast","","","Not for IDW"
"922",922,"Trichiurus lepturus","Atlantic cutlassfish","Scombriformes (Mackerels)","US East Coast","Southeast","","","Not for IDW"
"923",923,"Trinectes maculatus","Hogchoker","Pleuronectiformes (Flatfishes) ","US East Coast","Southeast","","","Not for IDW"
"924",924,"Urophycis earllii","Carolina hake","Gadiformes (Cods, genadiers, pollock) ","US East Coast","Southeast","","","Not for IDW"
"925",925,"Xiphopenaeus kroyeri","Atlantic seabob","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","Southeast","","","Not for IDW"
"926",926,"Alopias vulpinus","Thresher","Elasmobranchii: Selachii (sharks)","US East Coast","Southeast","","","Not for IDW"
"927",927,"Cancer irroratus","Atlantic rock crab","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","Southeast","","","Not for IDW"
"928",928,"Carcharias taurus","Sand tiger shark","Elasmobranchii: Selachii (sharks)","US East Coast","Southeast","","","Not for IDW"
"929",929,"Etrumeus sadina","Round herring","Clupeiformes (Herrings, anchovy, shad)","US East Coast","Southeast","","","Not for IDW"
"930",930,"Mustelus canis","Smooth dogfish","Elasmobranchii: Selachii (sharks)","US East Coast","Southeast","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Not for IDW"
"931",931,"Oligoplites saurus","Leatherjacket","Carangiformes (Jacks)","US East Coast","Southeast","","","Not for IDW"
"932",932,"Ophidion marginatum","Striped cusk-eel","Ophidiiformes (Cusk eels) ","US East Coast","Southeast","","","Not for IDW"
"933",933,"Sicyonia brevirostris","Brown rock shrimp","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","Southeast","SAFMC","Shrimp Fishery of the South Atlantic Region","Not for IDW"
"934",934,"Squalus acanthias","Spiny dogfish","Elasmobranchii: Selachii (sharks)","US East Coast","Southeast","","","Not for IDW"
"935",935,"Squatina dumeril","Sand devil","Elasmobranchii: Selachii (sharks)","US East Coast","Southeast","","","Not for IDW"
"936",936,"Syngnathus louisianae","Chain pipefish","Syngnathiformes (Seahorses)","US East Coast","Southeast","","","Not for IDW"
"937",937,"Trachurus lathami","Rough scad","Carangiformes (Jacks)","US East Coast","Southeast","","","Not for IDW"
"938",938,"Upeneus parvus","Dwarf goatfish","Mulliformes (Goatfishes)","US East Coast","Southeast","","","Not for IDW"
"939",939,"Urophycis floridana","Southern hake","Gadiformes (Cods, genadiers, pollock) ","US East Coast","Southeast","","","Not for IDW"
"940",940,"Urophycis regia","Spotted hake","Gadiformes (Cods, genadiers, pollock) ","US East Coast","Southeast","","","Not for IDW"
"941",941,"Alectis ciliaris","African pompano","Carangiformes (Jacks)","US East Coast","Southeast","","","Not for IDW"
"942",942,"Carcharhinus brevipinna","Spinner shark","Elasmobranchii: Selachii (sharks)","US East Coast","Southeast","","","Not for IDW"
"943",943,"Gobiosoma bosc","Naked goby","Gobiiformes (Gobies)","US East Coast","Southeast","","","Not for IDW"
"944",944,"Haemulon aurolineatum","Tomtate grunt","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","Southeast","","","Not for IDW"
"945",945,"Hypleurochilus geminatus","Crested blenny","Blenniiformes (Blennies)","US East Coast","Southeast","","","Not for IDW"
"946",946,"Opsanus tau","Oyster toadfish","Batrachoidiformes (Toadfishes)","US East Coast","Southeast","","","Not for IDW"
"947",947,"Paralichthys squamilentus","Broad flounder","Pleuronectiformes (Flatfishes) ","US East Coast","Southeast","","","Not for IDW"
"948",948,"Petrochirus diogenes","Giant hermit","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","Southeast","","","Not for IDW"
"949",949,"Porichthys plectrodon","Atlantic midshipman","Batrachoidiformes (Toadfishes)","US East Coast","Southeast","","","Not for IDW"
"950",950,"Actinauge verrillii","Reticulate anemone","Cnidaria (jellyfish, corals, anenomes) ","US West Coast","West Coast","","","Not for IDW"
"951",951,"Actinostola faeculenta","Hobnail vase anemone","Cnidaria (jellyfish, corals, anenomes) ","US West Coast","West Coast","","","Not for IDW"
"952",952,"Albatrossia pectoralis","Giant grenadier","Gadiformes (Cods, genadiers, pollock) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"953",953,"Alepocephalus tenebrosus","California slickhead","Alepocephaliformes (Slickheads and tubeshoulders.)","US West Coast","West Coast","","","Not for IDW"
"954",954,"Alosa sapidissima","American shad","Clupeiformes (Herrings, anchovy, shad)","US West Coast","West Coast","","","Not for IDW"
"955",955,"Ampheraster marianus","Mariana's island star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"956",956,"Anoplopoma fimbria","Sablefish","Perciformes/Cottoidei (sculpins)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"957",957,"Anthopleura xanthogrammica","Giant green anemone","Cnidaria (jellyfish, corals, anenomes) ","US West Coast","West Coast","","","Not for IDW"
"958",958,"Anthoptilum grandiflorum","Feather boa sea pen","Cnidaria (jellyfish, corals, anenomes) ","US West Coast","West Coast","","","Not for IDW"
"959",959,"Antimora microlepis","Finescale mora","Gadiformes (Cods, genadiers, pollock) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"960",960,"Aphrocallistes vastus","Cloud sponge","Porifera (sponges)","US West Coast","West Coast","","","Not for IDW"
"961",961,"Apostichopus californicus","Giant california sea cucumber","Holothuroidea (sea cucumbers)","US West Coast","West Coast","","","Not for IDW"
"962",962,"Apostichopus leukothele","White-knobbed sea cucumber","Holothuroidea (sea cucumbers)","US West Coast","West Coast","","","Not for IDW"
"963",963,"Apristurus brunneus","Brown catshark","Elasmobranchii: Selachii (sharks)","US West Coast","West Coast","","","Not for IDW"
"964",964,"Astropecten californicus","California sand star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"965",965,"Astropecten articulatus","Royal sea star","Asteroidea (starfishes) ","Gulf of Mexico","Gulf of Mexico","","","Not for IDW"
"966",966,"Astropecten cingulatus",NA,"Asteroidea (starfishes) ","Gulf of Mexico","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"967",967,"Astropecten duplicatus","Two-spined star fish","Asteroidea (starfishes) ","Gulf of Mexico","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"968",968,"Astropecten karankawai",NA,"Asteroidea (starfishes) ","Gulf of Mexico","Gulf of Mexico","","","Not for IDW"
"969",969,"Astropecten mcedwardi",NA,"Asteroidea (starfishes) ","Gulf of Mexico","Gulf of Mexico","","","Not for IDW"
"970",970,"Atheresthes stomias","Arrowtooth flounder","Pleuronectiformes (Flatfishes) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"971",971,"Bathyagonus nigripinnis","Blackfin poacher","Perciformes/Cottoidei (sculpins)","US West Coast","West Coast","","","Not for IDW"
"972",972,"Bathybembix bairdii",NA,"Gastropoda (sea snails and slugs)","US West Coast","West Coast","","","Not for IDW"
"973",973,"Bathyraja spp.","Skate complex","Elasmobranchii: Batoidea (skates, rays)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"974",974,"Beringraja binoculata","Big skate","Elasmobranchii: Batoidea (skates, rays)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"975",975,"Beringraja inornata","California skate","Elasmobranchii: Batoidea (skates, rays)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"976",976,"Beringraja rhina","Longnose skate","Elasmobranchii: Batoidea (skates, rays)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"977",977,"Beringraja stellulata","Starry skate","Elasmobranchii: Batoidea (skates, rays)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"978",978,"Bothrocara brunneum","Twoline eelpout","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","US West Coast","West Coast","","","Not for IDW"
"979",979,"Brisaster latifrons","Northern heart urchin","Echinoidea (sea urchins, sand dollars) ","US West Coast","West Coast","","","Not for IDW"
"980",980,"Brissopsis pacifica","Pacific heart urchin","Echinoidea (sea urchins, sand dollars) ","US West Coast","West Coast","","","Not for IDW"
"981",981,"Cancer productus","Red rock crab","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"982",982,"Careproctus melanurus","Blacktail snailfish","Perciformes/Cottoidei (sculpins)","US West Coast","West Coast","","","Not for IDW"
"983",983,"Chauliodus macouni","Pacific viperfish","Stomiiformes (Lightfishes and dragonfishes)","US West Coast","West Coast","","","Not for IDW"
"984",984,"Chionoecetes tanneri","Grooved tanner crab","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"985",985,"Chorilia longipes","Longhorn decorator crab","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"986",986,"Citharichthys sordidus","Pacific sanddab","Pleuronectiformes (Flatfishes) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"987",987,"Clupea pallasii","Pacific herring","Clupeiformes (Herrings, anchovy, shad)","US West Coast","West Coast","","","Not for IDW"
"988",988,"Coryphaenoides acrolepis","Pacific grenadier","Gadiformes (Cods, genadiers, pollock) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"989",989,"Crossaster borealis","Grooved sun star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"990",990,"Dipsacaster eximius","Extraordinary sand star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"991",991,"Doryteuthis opalescens","California market squid","Cephalopoda (squid, octopus)","US West Coast","West Coast","PFMC","Coastal Pelagic Species","Not for IDW"
"992",992,"Dromalia alexandri","Sea dandelion","Cnidaria (jellyfish, corals, anenomes) ","US West Coast","West Coast","","","Not for IDW"
"993",993,"Echidnocerus foraminatus","Brown box crab","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"994",994,"Eopsetta jordani","Petrale sole","Pleuronectiformes (Flatfishes) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"995",995,"Eptatretus deani","Black hagfish","Myxiniformes (Hagfishes)","US West Coast","West Coast","","","Not for IDW"
"996",996,"Eptatretus stoutii","Pacific hagfish","Myxiniformes (Hagfishes)","US West Coast","West Coast","","","Not for IDW"
"997",997,"Eualus macrophthalmus","Big eyed shrimp","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"998",998,"Gadus macrocephalus","Pacific cod","Gadiformes (Cods, genadiers, pollock) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"999",999,"Genyonemus lineatus","White croaker","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US West Coast","West Coast","","","Not for IDW"
"1000",1000,"Glyptocephalus zachirus","Rex sole","Pleuronectiformes (Flatfishes) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1001",1001,"Gonatus onyx","Clawed armhook squid","Cephalopoda (squid, octopus)","US West Coast","West Coast","","","Not for IDW"
"1002",1002,"Gorgonocephalus eucnemis","Basket star","Ophiuroidea (brittle stars)","US West Coast","West Coast","","","Not for IDW"
"1003",1003,"Grimothea planipes","Pelagic red crab","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"1004",1004,"Heterozonias alternatus","Canonball sun star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"1005",1005,"Hippasteria californica","Californian spiny star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"1006",1006,"Hippasteria phrygiana","Arctic cushion star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"1007",1007,"Hippoglossina stomata","Bigmouth flounder","Pleuronectiformes (Flatfishes) ","US West Coast","West Coast","","","Not for IDW"
"1008",1008,"Hippoglossoides elassodon","Flathead sole","Pleuronectiformes (Flatfishes) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1009",1009,"Hippoglossus stenolepis","Pacific halibut","Pleuronectiformes (Flatfishes) ","US West Coast","West Coast","PFMC","Species Managed Under International Agreement - IPHC","Not for IDW"
"1010",1010,"Histioteuthis heteropsis",NA,"Cephalopoda (squid, octopus)","US West Coast","West Coast","","","Not for IDW"
"1011",1011,"Hydrolagus colliei","Spotted ratfish","Chimaeriformes (Chimaeras)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1012",1012,"Icelinus filamentosus","Threadfin sculpin","Perciformes/Cottoidei (sculpins)","US West Coast","West Coast","","","Not for IDW"
"1013",1013,"Lepidopsetta sp.","Rock soles","Pleuronectiformes (Flatfishes) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1014",1014,"Liponema brevicorne","Tentacle shedding anemone","Cnidaria (jellyfish, corals, anenomes) ","US West Coast","West Coast","","","Not for IDW"
"1015",1015,"Lithodes couesi","Scarlet king crab","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"1016",1016,"Luidia foliolata","Gray sand star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"1017",1017,"Lycenchelys crotalinus","Snakehead eelpout","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","US West Coast","West Coast","","","Not for IDW"
"1018",1018,"Lycodes cortezianus","Bigfin eelpout","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","US West Coast","West Coast","","","Not for IDW"
"1019",1019,"Lycodes diapterus","Black eelpout","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","US West Coast","West Coast","","","Not for IDW"
"1020",1020,"Lycodes pacificus","Blackbelly eelpout","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","US West Coast","West Coast","","","Not for IDW"
"1021",1021,"Lyopsetta exilis","Slender sole","Pleuronectiformes (Flatfishes) ","US West Coast","West Coast","","","Not for IDW"
"1022",1022,"Mediaster aequalis","Vermillion star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"1023",1023,"Merluccius productus","Pacific hake","Gadiformes (Cods, genadiers, pollock) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1024",1024,"Metacarcinus magister","Dungeness crab","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"1025",1025,"Metridium farcimen","Giant plumose anemone","Cnidaria (jellyfish, corals, anenomes) ","US West Coast","West Coast","","","Not for IDW"
"1026",1026,"Microgadus proximus","Pacific tomcod","Gadiformes (Cods, genadiers, pollock) ","US West Coast","West Coast","","","Not for IDW"
"1027",1027,"Microstomus bathybius","Deep-sea sole","Pleuronectiformes (Flatfishes) ","US West Coast","West Coast","","","Not for IDW"
"1028",1028,"Microstomus pacificus","Dover sole","Pleuronectiformes (Flatfishes) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1029",1029,"Molpadia intermedia","Sweet potato sea cucumber","Holothuroidea (sea cucumbers)","US West Coast","West Coast","","","Not for IDW"
"1030",1030,"Myxoderma platyacanthum",NA,"Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"1031",1031,"Myxoderma sacculatum","Giant slimy star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"1032",1032,"Nearchaster (Nearchaster) aciculosus","Needle spined fragile star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"1033",1033,"Neptunea amianta","White neptune","Gastropoda (sea snails and slugs)","US West Coast","West Coast","","","Not for IDW"
"1034",1034,"Nezumia liolepis","Smooth grenadier","Gadiformes (Cods, genadiers, pollock) ","US West Coast","West Coast","","","Not for IDW"
"1035",1035,"Nezumia stelgidolepis","California grenadier","Gadiformes (Cods, genadiers, pollock) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1036",1036,"Octopoteuthis deletron","Octopus squid","Cephalopoda (squid, octopus)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1037",1037,"Octopus californicus","North pacific bigeye octopus","Cephalopoda (squid, octopus)","US West Coast","West Coast","","","Not for IDW"
"1038",1038,"Ophiodon elongatus","Lingcod","Perciformes/Cottoidei (sculpins)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1039",1039,"Ophiura sarsii","Notched brittle star","Ophiuroidea (brittle stars)","US West Coast","West Coast","","","Not for IDW"
"1040",1040,"Opisthoteuthis californiana","Flapjack octopus","Cephalopoda (squid, octopus)","US West Coast","West Coast","","","Not for IDW"
"1041",1041,"Pandalus amplus","Deepwater bigeye","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"1042",1042,"Pandalus jordani","Ocean shrimp","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"1043",1043,"Pandalus platyceros","Spot shrimp","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"1044",1044,"Pannychia moseleyi","Deep sea papillate cucumber","Holothuroidea (sea cucumbers)","US West Coast","West Coast","","","Not for IDW"
"1045",1045,"Paralomis multispina","Many spine spider crab","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"1046",1046,"Parmaturus xaniurus","Filetail catshark","Elasmobranchii: Selachii (sharks)","US West Coast","West Coast","","","Not for IDW"
"1047",1047,"Parophrys vetulus","English sole","Pleuronectiformes (Flatfishes) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1048",1048,"Pasiphaea pacifica","Pacific glass shrimp","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"1049",1049,"Pasiphaea tarda","Crimson pasiphaeid","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"1050",1050,"Peprilus simillimus","Pacific pompano","Scombriformes (Mackerels)","US West Coast","West Coast","","","Not for IDW"
"1051",1051,"Periphylla periphylla","Merchant cap","Cnidaria (jellyfish, corals, anenomes) ","US West Coast","West Coast","","","Not for IDW"
"1052",1052,"Pisaster brevispinus","Giant pink sea star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"1053",1053,"Platymera gaudichaudii","Armed box crab","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","West Coast","","","Not for IDW"
"1054",1054,"Pleurobranchaea californica",NA,"Gastropoda (sea snails and slugs)","US West Coast","West Coast","","","Not for IDW"
"1055",1055,"Pleuronichthys decurrens","Curlfin sole","Pleuronectiformes (Flatfishes) ","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1056",1056,"Pleuronichthys verticalis","Hornyhead turbot","Pleuronectiformes (Flatfishes) ","US West Coast","West Coast","","","Not for IDW"
"1057",1057,"Porichthys notatus","Plainfin midshipman","Batrachoidiformes (Toadfishes)","US West Coast","West Coast","","","Not for IDW"
"1058",1058,"Pseudostichopus mollis","Sandy sea cucumber","Holothuroidea (sea cucumbers)","US West Coast","West Coast","","","Not for IDW"
"1059",1059,"Pteraster jordani","Jordan's cushion star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"1060",1060,"Pycnopodia helianthoides","Sunflower sea star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"1061",1061,"Pyrosoma atlanticum",NA,"Tunicata (sea squirts, tunicates, salps) ","US West Coast","West Coast","","","Not for IDW"
"1062",1062,"Rathbunaster californicus","California sun star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"1063",1063,"Rossia pacifica","Eastern pacific bobtail","Cephalopoda (squid, octopus)","US West Coast","West Coast","","","Not for IDW"
"1064",1064,"Sagenaster evermanni","Evermann's star","Asteroidea (starfishes) ","US West Coast","West Coast","","","Not for IDW"
"1065",1065,"Sebastes alutus","Pacific ocean perch","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1066",1066,"Sebastes aurora","Aurora rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1067",1067,"Sebastes babcocki","Redbanded rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1068",1068,"Sebastes chlorostictus","Greenspotted rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1069",1069,"Sebastes crameri","Darkblotched rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1070",1070,"Sebastes diploproa","Splitnose rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1071",1071,"Sebastes elongatus","Greenstriped rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1072",1072,"Sebastes entomelas","Widow rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1073",1073,"Sebastes flavidus","Yellowtail rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1074",1074,"Sebastes goodei","Chilipepper rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1075",1075,"Sebastes helvomaculatus","Rosethorn rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1076",1076,"Sebastes jordani","Shortbelly rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
"1077",1077,"Sebastes melanostictus and S. aleutianus","Blackspotted and rougheye rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","West Coast","PFMC","Pacific Coast Groundfish","Not for IDW"
